pilot_order,restaurant_name,google_place_id,google_maps_link
1,Seasonal Tastes,ChIJnZL9x7XHVTcRjmRUVqzzp2s,https://www.google.com/maps/place/Seasonal+Tastes/data=!4m7!3m6!1s0x3755c7b5c7fd929d:0x6ba7f3ac5654648e!8m2!3d23.7933656!4d90.4146485!16s%2Fg%2F11fkn0mzrx!19sChIJnZL9x7XHVTcRjmRUVqzzp2s?authuser=0&hl=en&rclk=1
2,Almajlis Arabian Restaurant | مطعم المجلس العربي,ChIJNYCUDQDHVTcRbZ-EG2mgl3o,https://www.google.com/maps/place/Almajlis+Arabian+Restaurant+%7C+%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3755c7000d948035:0x7a97a0691b849f6d!8m2!3d23.7952571!4d90.4130772!16s%2Fg%2F11y9b6v1tn!19sChIJNYCUDQDHVTcRbZ-EG2mgl3o?authuser=0&hl=en&rclk=1
3,Gulshan banani,ChIJserEPgDHVTcRxjCuwNRSbc8,https://www.google.com/maps/place/Gulshan+banani/data=!4m7!3m6!1s0x3755c7003ec4eab1:0xcf6d52d4c0ae30c6!8m2!3d23.7936205!4d90.4066004!16s%2Fg%2F11zbdmmh9r!19sChIJserEPgDHVTcRxjCuwNRSbc8?authuser=0&hl=en&rclk=1
4,The New Gulshan Plaza Restaurant,ChIJ7_UxHafHVTcRHWbnbvsqFfk,https://www.google.com/maps/place/The+New+Gulshan+Plaza+Restaurant/data=!4m7!3m6!1s0x3755c7a71d31f5ef:0xf9152afb6ee7661d!8m2!3d23.7936503!4d90.4143306!16s%2Fg%2F11c6v4zyys!19sChIJ7_UxHafHVTcRHWbnbvsqFfk?authuser=0&hl=en&rclk=1
5,Chef's Table - Gulshan 2,ChIJaUObm0LHVTcRKSVUsPI3CbE,https://www.google.com/maps/place/Chef%27s+Table+-+Gulshan+2/data=!4m7!3m6!1s0x3755c7429b9b4369:0xb10937f2b0542529!8m2!3d23.7957308!4d90.4149481!16s%2Fg%2F11f7bgg1tf!19sChIJaUObm0LHVTcRKSVUsPI3CbE?authuser=0&hl=en&rclk=1
