id,name,description,address,city,area,latitude,longitude,phone,website
de672a3e-c8a5-5a71-b301-cdf8fb87330f,KHAZANA,,Plot#41 Rd 113,,,23.7887098,90.4178564,,
f059c0a5-cade-5b20-a596-c399d4b49813,Istanbul Restaurant Dhaka,,"QCW7+79W, Ho",,,23.7957609,90.4133504,,
b8c18aa8-60a4-53ea-b462-9f463ca2c2a1,Lahore by IKitchen,,Plot# 08 Rd 111,,,23.7901349,90.4169355,,
c87fd255-b85c-5ddf-a325-8301634f3814,Binni Restaurant,,Binni Restaurant,,,23.7813287,90.4172573,,
9cfe2ef2-222a-520e-81c7-ea8521e2a332,Lucknow Dhaka,,"Block- B, House-35 Rd No 18",,,23.7949329,90.4045274,,
588a5160-43a8-5323-8416-2998fd740271,BLUE SALT,,"orin tower, house 23 Rd No 113/A",,,23.7899648,90.4192239,,
b1f40da5-0b84-5477-ac55-70ca4225f180,Crowne Plaza Dhaka Gulshan Crowne Plaza Dhaka Gulshan,,Lane No 4,,,23.7946034,90.4137002,,
6ab6baab-270c-5b4a-a0fd-2ff0656618f3,"C House Milano, Bangladesh",,"House -19, 19 Rd",,,23.7939745,90.4164753,,
aaf7773d-2dfd-54c1-b7cd-4c82c5199974,Fools Diner,,"H.No, 67/C Rd N",,,23.790692,90.4076464,,
bc93c7b0-2d41-5a4d-9c6d-6f3eb6615f02,Prego,,"The Westin, Main",,,23.793223,90.414601,,
9fca1e6e-2b53-5e0e-91cd-5da7a76a7113,Sukumvit Thai Restaurant,,"Level-5, Elegant Tower, House-42 Rd 52",,,23.7949294,90.4132524,,
6fcb5fe5-8c6c-5029-9166-1c9747a8783f,Cricketer's Kitchen & Cafe,,"Road # 144 Gulshan Shooting, Clu",,,23.773539,90.4174151,,
3e9c9cff-9835-5cd7-9293-fb86a4c8c68b,"Mezzan Haile Aiun, Gulshan",,"1 House, 37 South Gulshan, Circle",,,23.7805798,90.4174604,,
4a6c85a5-8cf0-582a-883d-e670ac85be33,Bamboo shoot Gulshan,,"1st Floor, 101 Gulshan Ave",,,23.7886695,90.4161534,,
1d35a2be-0961-51e8-8c4a-ffdb4f5e1d6e,Teppanyaki Dhaka,,"2, Sanmar Tower, 4th & 5th Floor, 3",,,23.7938824,90.4132231,,
0583c5ea-421e-5714-bb19-15782aec20d5,Ajo Idea Space,,12 Rd 101,,,23.7937228,90.4184461,,
f32ee566-dd5b-5c18-b951-fd9e76319323,Secret Recipe Gulshan2 Flagship,,"CFC Building, 12",,,23.798562,90.4123134,,
664c711e-30f3-566d-b6dd-a8498b555f74,Takeout Gulshan,,Crystal Palace (L,,,23.7770049,90.4166953,,
3b91bbb8-4ca1-5f53-9be4-16f11c46f98c,Vrinda's Kitchen Gulshan,,,,,23.7995678,90.431669,,
32e83a3c-82f0-5ee5-8a57-72b9a1f355a4,The Red Chamber,,"Hamid Tower, 22",,,23.7951889,90.4148153,,
9cc11839-deec-5950-9a45-7aede25a9049,New Dhansiri Restaurant - Gulshan 2,,"Road #45, Plot #33, 1st floor, Guls",,,23.7937788,90.4142898,,
35c5cbfb-0408-55d4-bfc7-18f45f8a377d,Mezbaan Dine,,"Habib Market, 50 Gulshan Ave",,,23.7806605,90.4168954,,
b2d420fb-a9af-5617-800a-06efc0807d6a,Pizzaburg Gulshan,,"1st Floor, Plot: 09, Road: 21",,,23.7812708,90.4153306,,
79fd05c6-b586-52fd-ac85-f6f18e6a8cc7,China Garden Restaurant Ltd.,,House 14 Rd 101,,,23.7934603,90.4183207,,
6c28069e-03ed-5fe9-bb4b-e6b5828d4407,Purnima Restaurant - Gulshan - 1,,"50, Habib Market, Gulshan Avenue",,,23.7808142,90.4168854,,
733cb558-0d2f-5573-949b-00a19c5ffdcc,Chef's Table - Gulshan 1,,United House,,,23.7768976,90.4160541,,
30ce2453-9309-565e-b90d-f23917fa8ab4,Soi 71,,House-8 Rd 101,,,23.7931153,90.4182008,,
354740cc-5271-5c58-88bb-1ae49828b531,Adana Sofrasi,,"2nd Floor, Unit - B",,,23.7860817,90.4165866,,
78ea604b-5116-5b9f-b6d3-6daeafc9e6a8,Star Kabab & Restaurant,,"Block-C, House #15 Road #17",,,23.793236,90.4028755,,
657f576c-85a9-580b-b00f-df27ea67b799,Laughing Buddha,,"4th floor, 153/A Gulshan North Ave",,,23.7959676,90.4132913,,
6a27fe1a-d155-5901-a9b8-480d80ebe71f,"Ankur Healing Restaurant, Gulshan Lake Drive",,"65/5, Osman Gan",,,23.7935515,90.4220115,,
79d1176c-2b8b-50ce-a458-44604bf91f8f,Shaw's Steakhouse,,"House# 23/B, Rd 113",,,23.7888077,90.4205058,,
fd8701d4-1676-5ac3-8672-f951fdab32ba,Sky Pool Restaurant,,Six Seasons Hote,,,23.7949574,90.4186995,,
0b88a80d-fe31-5834-945e-174588562c4a,Kacchi Bhai - Gulshan,,Rd 45,,,23.7936503,90.4143306,,
4198bb8c-cf77-55fe-8422-b7cfa1df20ee,El Toro Mexican Restaurant,,H # 9/A R # 36,,,23.7929525,90.4141695,,
a5e28471-6820-5b18-93d7-234d09559d18,The White Canary Café,,"House no:, 12A R",,,23.7994169,90.4155821,,
5f275a84-c23b-558e-9a94-a992c6df667b,Baan Busaba,,22 DIT II Cir,,,23.7952758,90.4147493,,
8fe16435-918e-550f-a009-b8e8dc597162,Evviva Italian Ristorante,,"Level 4, 101 Gulshan Ave",,,23.7887406,90.416295,,
55119dc3-1fbd-5f53-af8c-ba1bf098c7f0,"Marina Cafe & Restaurant, Gulshan Lake View",,"House 1, Dhaka Division, road 3 B",,,23.7801086,90.4209799,,
be243c4f-ea56-5ccd-92fd-c19a84e5ea2e,Burger King | Gulshan 2,,"Gulshan Tower, P",,,23.7954556,90.4135152,,
